Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,6,3,3,7,0,7,0,19,0,0,0,0,19,6,7,0,7,3,0,7,6,19,19,0,7,4,4,3,6
Atlanta Braves,6,-162,0,0,6,3,7,3,7,3,0,4,0,7,19,6,3,19,0,0,19,7,6,7,0,7,0,0,4,19
Baltimore Orioles,3,0,-162,19,0,7,0,7,3,6,6,7,7,3,0,0,6,0,19,7,0,0,4,3,6,0,19,7,19,4
Boston Red Sox,3,0,19,-162,0,6,0,7,4,7,7,7,6,3,0,0,7,0,19,6,4,0,3,3,7,0,19,6,19,0
Chicago Cubs,7,6,0,0,-162,4,19,0,6,0,3,0,4,7,7,19,0,6,0,3,6,19,7,7,3,19,0,3,0,7
Chicago White Sox,0,3,7,6,4,-162,0,19,0,19,7,19,7,0,3,0,19,4,6,7,3,0,0,0,6,0,7,6,7,3
Cincinnati Reds,7,7,0,0,19,0,-162,4,6,0,3,0,3,7,7,19,0,6,0,4,6,19,6,7,3,19,0,3,0,7
Cleveland Indians,0,3,7,7,0,19,4,-162,0,19,7,19,6,0,3,0,19,3,7,7,4,0,0,0,7,0,6,6,6,3
Colorado Rockies,19,7,3,4,6,0,6,0,-162,0,4,0,0,19,7,6,0,7,3,0,7,6,19,19,0,7,3,0,3,7
Detroit Tigers,0,3,6,7,0,19,0,19,0,-162,7,19,6,0,3,0,19,3,6,7,3,4,0,0,7,0,6,7,7,4
Houston Astros,0,0,6,7,3,7,3,7,4,7,-162,6,19,0,0,3,6,0,6,19,0,3,0,0,19,4,7,19,7,0
Kansas City Royals,0,4,7,7,0,19,0,19,0,19,6,-162,7,0,3,0,19,3,7,6,3,0,0,0,7,4,7,6,6,3
Los Angeles Angels,0,0,7,6,4,7,3,6,0,6,19,7,-162,4,0,3,6,0,7,19,0,3,0,0,19,3,7,19,7,0
Los Angeles Dodgers,19,7,3,3,7,0,7,0,19,0,0,0,4,-162,7,6,0,6,4,0,7,6,19,19,0,7,3,0,3,6
Miami Marlins,6,19,0,0,7,3,7,3,7,3,0,3,0,7,-162,6,4,19,0,0,19,6,7,7,0,6,4,0,0,19
Milwaukee Brewers,7,6,0,0,19,0,19,0,6,0,3,0,3,6,6,-162,4,7,0,3,7,19,7,7,3,19,0,4,0,7
Minnesota Twins,0,3,6,7,0,19,0,19,0,19,6,19,6,0,4,4,-162,3,7,7,3,0,0,0,7,0,7,7,6,3
New York Mets,7,19,0,0,6,4,6,3,7,3,0,3,0,6,19,7,3,-162,4,0,19,7,7,6,0,7,0,0,0,19
New York Yankees,3,0,19,19,0,6,0,7,3,6,6,7,7,4,0,0,7,4,-162,6,0,0,3,3,7,0,19,7,19,0
Oakland Athletics,0,0,7,6,3,7,4,7,0,7,19,6,19,0,0,3,7,0,6,-162,0,3,0,4,19,3,6,19,7,0
Philadelphia Phillies,7,19,0,4,6,3,6,4,7,3,0,3,0,7,19,7,3,19,0,0,-162,7,6,6,0,7,0,0,0,19
Pittsburgh Pirates,6,7,0,0,19,0,19,0,6,4,3,0,3,6,6,19,0,7,0,3,7,-162,7,7,4,19,0,3,0,7
San Diego Padres,19,6,4,3,7,0,6,0,19,0,0,0,0,19,7,7,0,7,3,0,6,7,-162,19,4,6,3,0,3,7
San Francisco Giants,19,7,3,3,7,0,7,0,19,0,0,0,0,19,7,7,0,6,3,4,6,7,19,-162,0,6,3,0,4,6
Seattle Mariners,0,0,6,7,3,6,3,7,0,7,19,7,19,0,0,3,7,0,7,19,0,4,4,0,-162,3,6,19,6,0
St. Louis Cardinals,7,7,0,0,19,0,19,0,7,0,4,4,3,7,6,19,0,7,0,3,7,19,6,6,3,-162,0,3,0,6
Tampa Bay Rays,4,0,19,19,0,7,0,6,3,6,7,7,7,3,4,0,7,0,19,6,0,0,3,3,6,0,-162,8,19,0
Texas Rangers,4,0,7,6,3,6,3,6,0,7,19,6,19,0,0,4,7,0,7,19,0,3,0,0,19,3,8,-162,7,0
Toronto Blue Jays,3,4,19,19,0,7,0,6,3,7,7,6,7,3,0,0,6,0,19,7,0,0,3,4,6,0,19,7,-162,0
Washington Nationals,6,19,4,0,7,3,7,3,7,4,0,3,0,6,19,7,3,19,0,0,19,7,7,6,0,6,0,0,0,-162
