Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,6,0,0,6,0,7,0,19,0,6,0,4,19,7,7,0,7,0,3,6,6,19,19,3,7,0,4,0,7
Atlanta Braves,6,-162,3,4,7,0,7,0,7,0,0,0,0,6,19,7,0,19,3,0,19,6,7,7,0,6,4,0,6,19
Baltimore Orioles,0,3,-162,19,0,6,0,6,0,7,7,7,6,0,3,0,7,4,19,7,4,0,0,0,6,0,19,7,19,6
Boston Red Sox,0,4,19,-162,0,7,0,6,0,6,6,7,7,0,4,0,7,3,19,6,6,0,0,0,7,0,19,7,19,3
Chicago Cubs,6,7,0,0,-162,6,19,4,6,4,0,3,0,7,6,19,3,7,0,0,7,19,6,7,0,19,0,0,0,7
Chicago White Sox,0,0,6,7,6,-162,3,19,0,19,6,19,7,0,0,3,19,0,7,7,0,4,0,0,7,4,6,6,7,0
Cincinnati Reds,7,7,0,0,19,3,-162,6,6,4,0,4,0,7,7,19,3,7,0,0,6,19,6,7,0,19,0,0,0,6
Cleveland Indians,0,0,6,6,4,19,6,-162,0,18,7,19,6,0,0,4,19,0,7,7,0,3,0,0,7,3,7,6,7,0
Colorado Rockies,19,7,0,0,6,0,6,0,-162,0,4,0,4,19,7,6,0,7,0,3,7,7,19,19,6,7,0,3,0,6
Detroit Tigers,0,0,7,6,4,19,4,18,0,-162,7,19,7,0,0,3,19,0,7,6,0,6,0,0,7,3,6,7,6,0
Houston Astros,6,0,7,6,0,6,0,7,4,7,-162,6,19,3,0,0,6,0,7,19,0,0,3,4,19,0,7,19,7,0
Kansas City Royals,0,0,7,7,3,19,4,19,0,19,6,-162,7,0,0,4,19,0,6,6,0,3,0,0,6,6,7,7,7,0
Los Angeles Angels,4,0,6,7,0,7,0,6,4,7,19,7,-162,6,0,0,7,0,6,19,0,0,3,3,19,0,6,19,7,0
Los Angeles Dodgers,19,6,0,0,7,0,7,0,19,0,3,0,6,-162,6,7,0,7,0,4,7,6,19,19,3,7,0,4,0,6
Miami Marlins,7,19,3,4,6,0,7,0,7,0,0,0,0,6,-162,6,0,19,4,0,19,7,7,7,0,6,6,0,3,19
Milwaukee Brewers,7,7,0,0,19,3,19,4,6,3,0,4,0,7,6,-162,6,6,0,0,7,19,7,6,0,19,0,0,0,7
Minnesota Twins,0,0,7,7,3,19,3,19,0,19,6,19,7,0,0,6,-162,0,6,7,0,4,0,0,7,4,6,6,7,0
New York Mets,7,19,4,3,7,0,7,0,7,0,0,0,0,7,19,6,0,-162,6,0,19,6,6,6,0,7,3,0,4,19
New York Yankees,0,3,19,19,0,7,0,7,0,7,7,6,6,0,4,0,6,6,-162,7,3,0,0,0,6,0,19,7,19,4
Oakland Athletics,3,0,7,6,0,7,0,7,3,6,19,6,19,4,0,0,7,0,7,-162,0,0,4,6,19,0,7,19,6,0
Philadelphia Phillies,6,19,4,6,7,0,6,0,7,0,0,0,0,7,19,7,0,19,3,0,-162,7,6,6,0,7,3,0,4,19
Pittsburgh Pirates,6,6,0,0,19,4,19,3,7,6,0,3,0,6,7,19,4,6,0,0,7,-162,7,7,0,19,0,0,0,7
San Diego Padres,19,7,0,0,6,0,6,0,19,0,3,0,3,19,7,7,0,6,0,4,6,7,-162,19,4,7,0,6,0,7
San Francisco Giants,19,7,0,0,7,0,7,0,19,0,4,0,3,19,7,6,0,6,0,6,6,7,19,-162,4,6,0,3,0,7
Seattle Mariners,3,0,6,7,0,7,0,7,6,7,19,6,19,3,0,0,7,0,6,19,0,0,4,4,-162,0,7,19,6,0
St. Louis Cardinals,7,6,0,0,19,4,19,3,7,3,0,6,0,7,6,19,4,7,0,0,7,19,7,6,0,-162,0,0,0,6
Tampa Bay Rays,0,4,19,19,0,6,0,7,0,6,7,7,6,0,6,0,6,3,19,7,3,0,0,0,7,0,-162,7,19,4
Texas Rangers,4,0,7,7,0,6,0,6,3,7,19,7,19,4,0,0,6,0,7,19,0,0,6,3,19,0,7,-162,6,0
Toronto Blue Jays,0,6,19,19,0,7,0,7,0,6,7,7,7,0,3,0,7,4,19,6,4,0,0,0,6,0,19,6,-162,3
Washington Nationals,7,19,6,3,7,0,6,0,6,0,0,0,0,6,19,7,0,19,4,0,19,7,7,7,0,6,4,0,3,-162
