Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,6,0,0,7,3,7,4,19,3,4,3,0,19,7,7,3,6,0,0,6,7,19,19,0,6,0,0,0,7
Atlanta Braves,6,-162,0,4,6,0,7,0,7,0,3,0,3,7,19,7,0,19,0,3,19,7,7,6,4,6,0,3,0,19
Baltimore Orioles,0,0,-162,19,3,6,3,7,0,6,7,7,6,0,0,3,7,0,19,6,0,4,0,0,7,3,19,7,19,4
Boston Red Sox,0,4,19,-162,3,7,4,7,0,6,7,7,7,0,0,3,6,0,19,7,0,3,0,0,6,3,19,6,19,0
Chicago Cubs,7,6,3,3,-162,4,19,0,7,0,0,0,0,7,6,19,0,7,4,0,6,19,7,6,0,19,3,0,3,7
Chicago White Sox,3,0,6,7,4,-162,0,19,3,19,6,19,6,3,0,0,19,0,7,7,0,0,3,4,7,0,7,6,7,0
Cincinnati Reds,7,7,3,4,19,0,-162,4,7,0,0,0,0,7,7,19,0,6,3,0,6,19,6,7,0,19,3,0,3,6
Cleveland Indians,4,0,7,7,0,19,4,-162,3,19,7,19,7,3,0,0,19,0,7,6,0,0,3,3,6,0,6,7,6,0
Colorado Rockies,19,7,0,0,7,3,7,3,-162,3,0,4,0,19,7,7,3,7,0,0,6,6,19,19,0,6,0,4,0,6
Detroit Tigers,3,0,6,6,0,19,0,19,3,-162,7,19,7,4,0,0,19,0,7,7,0,4,3,3,6,0,7,7,6,0
Houston Astros,4,3,7,7,0,6,0,7,0,7,-162,6,19,0,3,0,6,3,6,19,3,0,0,0,19,0,7,19,7,4
Kansas City Royals,3,0,7,7,0,19,0,19,4,19,6,-162,6,3,0,0,19,0,7,7,0,0,3,3,7,4,6,6,7,0
Los Angeles Angels,0,3,6,7,0,6,0,7,0,7,19,6,-162,4,3,0,7,3,6,19,4,0,0,0,19,0,7,19,7,3
Los Angeles Dodgers,19,7,0,0,7,3,7,3,19,4,0,3,4,-162,6,6,3,6,0,0,7,7,19,19,0,7,0,0,0,6
Miami Marlins,7,19,0,0,6,0,7,0,7,0,3,0,3,6,-162,7,0,19,0,3,19,6,7,7,3,6,4,4,0,19
Milwaukee Brewers,7,7,3,3,19,0,19,0,7,0,0,0,0,6,7,-162,4,7,3,0,7,19,6,6,0,19,3,0,4,6
Minnesota Twins,3,0,7,6,0,19,0,19,3,19,6,19,7,3,0,4,-162,0,7,7,0,0,4,3,7,0,6,7,6,0
New York Mets,6,19,0,0,7,0,6,0,7,0,3,0,3,6,19,7,0,-162,4,4,19,7,6,7,3,7,0,3,0,19
New York Yankees,0,0,19,19,4,7,3,7,0,7,6,7,6,0,0,3,7,4,-162,6,0,3,0,0,6,3,19,7,19,0
Oakland Athletics,0,3,6,7,0,7,0,6,0,7,19,7,19,0,3,0,7,4,6,-162,3,0,0,4,19,0,6,19,7,3
Philadelphia Phillies,6,19,0,0,6,0,6,0,6,0,3,0,4,7,19,7,0,19,0,3,-162,7,7,7,3,7,0,3,4,19
Pittsburgh Pirates,7,7,4,3,19,0,19,0,6,4,0,0,0,7,6,19,0,7,3,0,7,-162,6,6,0,19,3,0,3,7
San Diego Padres,19,7,0,0,7,3,6,3,19,3,0,3,0,19,7,6,4,6,0,0,7,6,-162,19,4,7,0,0,0,7
San Francisco Giants,19,6,0,0,6,4,7,3,19,3,0,3,0,19,7,6,3,7,0,4,7,6,19,-162,0,7,0,0,0,7
Seattle Mariners,0,4,7,6,0,7,0,6,0,6,19,7,19,0,3,0,7,3,6,19,3,0,4,0,-162,0,7,19,7,3
St. Louis Cardinals,6,6,3,3,19,0,19,0,6,0,0,4,0,7,6,19,0,7,3,0,7,19,7,7,0,-162,4,0,3,7
Tampa Bay Rays,0,0,19,19,3,7,3,6,0,7,7,6,7,0,4,3,6,0,19,6,0,3,0,0,7,4,-162,7,19,0
Texas Rangers,0,3,7,6,0,6,0,7,4,7,19,6,19,0,4,0,7,3,7,19,3,0,0,0,19,0,7,-162,6,3
Toronto Blue Jays,0,0,19,19,3,7,3,6,0,6,7,7,7,0,0,4,6,0,19,7,4,3,0,0,7,3,19,6,-162,0
Washington Nationals,7,19,4,0,7,0,6,0,6,0,4,0,3,6,19,6,0,19,0,3,19,7,7,7,3,7,0,3,0,-162
